docname,topic,proportion
minidata.txt:295,000,1.0
minidata.txt:4,006,1.0
minidata.txt:39,006,1.0
minidata.txt:74,000,1.0
minidata.txt:109,004,1.0
minidata.txt:162,000,1.0
minidata.txt:197,009,1.0
minidata.txt:232,002,1.0
minidata.txt:267,001,1.0
minidata.txt:31,001,1.0
minidata.txt:66,001,1.0
minidata.txt:101,005,1.0
minidata.txt:136,001,1.0
minidata.txt:154,004,1.0
minidata.txt:189,006,1.0
minidata.txt:224,000,1.0
minidata.txt:259,000,1.0
minidata.txt:294,005,1.0
minidata.txt:3,000,1.0
minidata.txt:38,008,1.0
minidata.txt:73,000,1.0
minidata.txt:108,003,1.0
minidata.txt:161,007,1.0
minidata.txt:196,001,1.0
minidata.txt:231,002,1.0
minidata.txt:266,005,1.0
minidata.txt:11,001,1.0
minidata.txt:46,006,1.0
minidata.txt:81,002,1.0
minidata.txt:116,001,1.0
minidata.txt:169,000,1.0
minidata.txt:204,002,1.0
minidata.txt:239,005,1.0
minidata.txt:274,003,1.0
minidata.txt:23,000,1.0
minidata.txt:58,005,1.0
minidata.txt:93,005,1.0
minidata.txt:128,001,1.0
minidata.txt:146,003,1.0
minidata.txt:181,001,1.0
minidata.txt:216,005,1.0
minidata.txt:251,000,1.0
minidata.txt:286,002,1.0
minidata.txt:18,001,1.0
minidata.txt:53,001,1.0
minidata.txt:88,006,1.0
minidata.txt:123,001,1.0
minidata.txt:176,004,1.0
minidata.txt:211,001,1.0
minidata.txt:246,006,1.0
minidata.txt:281,005,1.0
minidata.txt:7,000,1.0
minidata.txt:42,001,1.0
minidata.txt:77,003,1.0
minidata.txt:112,004,1.0
minidata.txt:165,000,1.0
minidata.txt:200,002,1.0
minidata.txt:235,002,1.0
minidata.txt:270,000,1.0
minidata.txt:8,005,1.0
minidata.txt:43,006,1.0
minidata.txt:78,004,1.0
minidata.txt:113,001,1.0
minidata.txt:166,005,1.0
minidata.txt:201,006,1.0
minidata.txt:236,001,1.0
minidata.txt:271,005,1.0
minidata.txt:13,002,1.0
minidata.txt:48,006,1.0
minidata.txt:83,001,1.0
minidata.txt:118,001,1.0
minidata.txt:171,000,1.0
minidata.txt:206,002,1.0
minidata.txt:241,000,1.0
minidata.txt:276,006,1.0
minidata.txt:19,001,1.0
minidata.txt:54,004,1.0
minidata.txt:89,006,1.0
minidata.txt:124,003,1.0
minidata.txt:177,000,1.0
minidata.txt:212,001,1.0
minidata.txt:247,003,1.0
minidata.txt:282,002,1.0
minidata.txt:24,005,1.0
minidata.txt:59,008,1.0
minidata.txt:94,007,1.0
minidata.txt:129,000,1.0
minidata.txt:147,005,1.0
minidata.txt:182,001,1.0
minidata.txt:217,002,1.0
minidata.txt:252,000,1.0
minidata.txt:287,002,1.0
minidata.txt:16,004,1.0
minidata.txt:51,001,1.0
minidata.txt:86,003,1.0
minidata.txt:121,000,1.0
minidata.txt:174,000,1.0
minidata.txt:209,009,1.0
minidata.txt:244,000,1.0
minidata.txt:279,004,1.0
